	GSM1194697	GSM1194698	GSM1194699
ENSG00000224353	0	0	0
ENSG00000167769	4	17	4
ENSG00000177076	52	16	33
ENSG00000078124	829	926	396
ENSG00000087085	2	0	0
ENSG00000100813	1436	959	655
ENSG00000213088	0	0	0
ENSG00000144648	57	110	71
ENSG00000144476	263	671	221
ENSG00000129048	2	0	4
ENSG00000131473	514	355	138
ENSG00000153086	7	0	0
ENSG00000122729	411	691	457
ENSG00000100412	435	183	176
ENSG00000102794	0	0	0
ENSG00000184227	0	89	0
ENSG00000162390	680	659	405
ENSG00000172497	0	0	0
ENSG00000112304	276	660	235
ENSG00000119673	143	153	36
ENSG00000177465	35	6	26
ENSG00000205669	0	0	0
ENSG00000097021	509	783	74
ENSG00000101473	34	2	35
ENSG00000123130	330	473	119
ENSG00000161533	2686	3429	2021
ENSG00000168306	5	15	0
ENSG00000087008	30	136	40
ENSG00000153093	55	33	34
ENSG00000143727	396	689	351
ENSG00000134575	503	653	43
ENSG00000102575	117	28	53
ENSG00000162836	769	454	203
ENSG00000183760	50	24	21
ENSG00000283539	0	0	0
ENSG00000111644	1	0	0
ENSG00000134940	1	1	3
ENSG00000103740	93	183	56
ENSG00000130377	0	0	13
ENSG00000167107	734	491	223
ENSG00000176715	274	181	157
ENSG00000151726	432	1010	122
ENSG00000123983	1278	1525	450
ENSG00000068366	1074	707	247
ENSG00000197142	421	1008	117
ENSG00000164398	65	51	48
ENSG00000166743	7	0	0
ENSG00000183747	137	232	45
ENSG00000066813	42	40	73
ENSG00000005187	106	69	90
ENSG00000215009	0	0	0
ENSG00000183549	3	0	1
ENSG00000260762	0	0	0
ENSG00000173124	106	2	59
ENSG00000154930	67	86	82
ENSG00000131069	686	1048	257
ENSG00000111058	12	6	5
ENSG00000143632	2	0	11
ENSG00000107796	139	242	77
ENSG00000075624	49624	68968	25983
ENSG00000169067	0	0	0
ENSG00000229145	5	4	1
ENSG00000188460	7	14	0
ENSG00000233125	0	0	0
ENSG00000229001	0	0	0
ENSG00000213763	5	2	1
ENSG00000203413	0	0	0
ENSG00000185607	2	5	0
ENSG00000220267	4	2	3
ENSG00000266920	3	11	0
ENSG00000159251	0	0	0
ENSG00000184009	6476	8114	3245
ENSG00000178631	0	0	0
ENSG00000231340	5	1	0
ENSG00000229465	0	1	0
ENSG00000226642	0	0	1
ENSG00000241305	0	0	0
ENSG00000230581	2	5	1
ENSG00000259904	12	2	0
ENSG00000260298	0	0	1
ENSG00000259315	51	41	17
ENSG00000218475	0	0	0
ENSG00000237999	1	0	0
ENSG00000229129	0	1	0
ENSG00000241547	2	2	30
ENSG00000232672	0	3	5
ENSG00000271615	0	0	0
ENSG00000230362	2	3	2
ENSG00000226359	1	2	0
ENSG00000215388	0	20	0
ENSG00000236085	3	0	0
ENSG00000229349	38	35	36
ENSG00000163017	124	170	47
ENSG00000288649	2	0	0
ENSG00000136518	275	296	88
ENSG00000077080	0	0	0
ENSG00000187003	0	0	0
ENSG00000148156	0	0	0
ENSG00000117148	0	0	0
ENSG00000181786	0	0	0
ENSG00000072110	2417	3135	1231
ENSG00000077522	0	1	0
ENSG00000248746	0	0	0
ENSG00000282844	3242	3168	1996
ENSG00000213493	5	0	1
ENSG00000214141	0	0	0
ENSG00000229890	0	0	0
ENSG00000131966	608	887	225
ENSG00000138107	564	926	243
ENSG00000115073	540	588	459
ENSG00000138071	1773	2421	466
ENSG00000115091	2116	3037	1531
ENSG00000133627	106	34	61
ENSG00000270242	0	0	0
ENSG00000226481	0	0	0
ENSG00000260327	0	0	0
ENSG00000249283	0	0	0
ENSG00000227264	0	0	0
ENSG00000288272	0	0	0
ENSG00000106526	441	154	428
ENSG00000232267	0	0	0
ENSG00000242573	0	0	0
ENSG00000101442	81	71	14
ENSG00000075089	85	208	185
ENSG00000248915	0	0	0
ENSG00000113812	20	87	32
ENSG00000123165	0	0	0
ENSG00000169717	0	0	0
ENSG00000184378	0	0	41
ENSG00000115170	710	1552	546
ENSG00000135503	1113	403	1014
ENSG00000123612	129	625	73
ENSG00000121989	241	286	104
ENSG00000114739	245	117	166
ENSG00000139567	11	16	26
ENSG00000243989	133	100	212
ENSG00000132744	5	0	1
ENSG00000119640	99	17	61
ENSG00000170634	100	203	50
ENSG00000196839	44	0	43
ENSG00000164113	0	0	0
ENSG00000267511	10	0	0
ENSG00000140955	85	17	7
ENSG00000168803	78	58	46
ENSG00000137845	3775	3731	2747
ENSG00000073670	0	0	0
ENSG00000148848	135	421	30
ENSG00000143537	315	148	159
ENSG00000151694	935	876	661
ENSG00000278548	0	0	0
ENSG00000135074	108	208	257
ENSG00000229186	0	0	0
ENSG00000226469	139	36	56
ENSG00000276286	0	0	0
ENSG00000134007	1	0	0
ENSG00000259158	4	4	0
ENSG00000248574	0	0	0
ENSG00000249162	0	0	0
ENSG00000139985	0	0	0
ENSG00000235812	0	0	0
ENSG00000008277	55	6	6
ENSG00000114948	43	32	1
ENSG00000214607	0	0	0
ENSG00000042980	777	335	228
ENSG00000168594	32	30	44
ENSG00000134249	0	0	0
ENSG00000275594	638	550	511
ENSG00000149451	11	0	50
ENSG00000197475	28	23	6
ENSG00000260089	0	0	0
ENSG00000196115	0	0	0
ENSG00000282626	0	0	0
ENSG00000069206	0	0	0
ENSG00000151651	300	773	694
ENSG00000282230	3208	4823	1798
ENSG00000134028	9	8	3
ENSG00000154734	83	57	105
ENSG00000142303	0	0	0
ENSG00000281690	34	123	85
ENSG00000281244	12	0	0
ENSG00000138316	23	21	34
ENSG00000166106	12	1	0
ENSG00000145536	32	19	4
ENSG00000140470	9	5	1
ENSG00000140873	3	0	18
ENSG00000145808	0	0	0
ENSG00000283802	18	24	205
ENSG00000173157	11	0	0
ENSG00000156140	8	0	1
ENSG00000158859	220	566	229
ENSG00000154736	0	0	0
ENSG00000049192	0	0	1
ENSG00000136378	17	2	0
ENSG00000281976	0	0	2
ENSG00000261143	1	0	0
ENSG00000218052	12	16	5
ENSG00000134917	1	0	1
ENSG00000163638	56	4	5
ENSG00000178031	2	1	2
ENSG00000197859	47	14	16
ENSG00000156218	3241	3082	2468
ENSG00000143382	49	45	95
ENSG00000185761	19	9	8
ENSG00000105963	22	21	5
ENSG00000184060	34	41	4
ENSG00000160710	5687	6750	3265
ENSG00000197381	101	186	13
ENSG00000185736	15	19	18
ENSG00000065457	152	279	42
ENSG00000189007	110	17	73
ENSG00000213638	0	0	0
ENSG00000063761	171	230	225
ENSG00000133597	46	119	0
ENSG00000285451	155	89	0
ENSG00000164742	57	4	25
ENSG00000143199	0	0	0
ENSG00000161912	12	90	28
ENSG00000078295	116	132	94
ENSG00000138031	55	85	131
ENSG00000284814	15	11	25
ENSG00000173175	11	0	0
ENSG00000174233	158	124	32
ENSG00000121281	84	44	53
ENSG00000155897	0	0	1
ENSG00000162104	740	1214	567
ENSG00000141433	0	0	0
ENSG00000078549	2	2	3
ENSG00000087274	647	1250	295
ENSG00000075340	60	74	93
ENSG00000148700	1680	1393	1328
ENSG00000118492	29	35	22
ENSG00000197177	0	0	0
ENSG00000020181	10	2	2
ENSG00000152990	1024	538	492
ENSG00000181790	0	0	0
ENSG00000121753	16	1	24
ENSG00000135298	0	0	0
ENSG00000111452	45	103	65
ENSG00000180264	93	83	54
ENSG00000174837	91	5	0
ENSG00000127507	359	226	586
ENSG00000131355	93	60	50
ENSG00000268758	7	3	4
ENSG00000123146	141	34	135
ENSG00000153292	1097	453	299
ENSG00000164393	16	91	3
ENSG00000173567	19	0	0
ENSG00000153294	333	1284	26
ENSG00000069122	91	6	24
ENSG00000227582	0	3	0
ENSG00000204818	0	0	0
ENSG00000205336	2233	2576	898
ENSG00000173698	127	150	81
ENSG00000182885	202	75	411
ENSG00000156920	1	15	9
ENSG00000159618	0	0	0
ENSG00000112414	88	32	11
ENSG00000144820	0	0	0
ENSG00000288324	13	0	11
ENSG00000117114	60	635	70
ENSG00000150471	2	0	0
ENSG00000162618	7	0	1
ENSG00000164199	38	13	40
ENSG00000187758	26	0	0
ENSG00000196616	158	45	83
ENSG00000248144	140	0	9
ENSG00000198099	114	122	112
ENSG00000197894	922	1420	453
ENSG00000232676	0	0	0
ENSG00000223694	0	0	0
ENSG00000277364	0	0	0
ENSG00000172955	81	245	32
ENSG00000196344	672	535	249
ENSG00000147576	65	78	41
ENSG00000280830	1193	1666	507
ENSG00000182035	0	0	0
ENSG00000181092	50	111	55
ENSG00000159346	2848	2364	971
ENSG00000232497	0	2	0
ENSG00000258805	0	0	0
ENSG00000285070	268	391	186
ENSG00000148671	477	410	256
ENSG00000156110	611	369	185
ENSG00000148926	457	1163	388
ENSG00000128165	81	146	4
ENSG00000224420	0	0	9
ENSG00000101126	6214	6136	2868
ENSG00000101544	587	875	326
ENSG00000181915	191	273	46
ENSG00000163485	0	2	0
ENSG00000128271	0	0	0
ENSG00000170425	327	771	54
ENSG00000236136	0	0	0
ENSG00000282608	34	30	0
ENSG00000159322	658	802	203
ENSG00000144843	2	21	7
ENSG00000153531	18	5	18
ENSG00000170222	50	10	17
ENSG00000120907	64	78	18
ENSG00000170214	0	0	0
ENSG00000171873	0	0	0
ENSG00000150594	0	0	0
ENSG00000274286	0	38	0
ENSG00000184160	0	0	0
ENSG00000043591	71	1	3
ENSG00000169252	4	26	12
ENSG00000188778	5	14	12
ENSG00000130706	581	791	282
ENSG00000239900	323	599	194
ENSG00000111863	19	3	24
ENSG00000106624	140	385	169
ENSG00000139154	1012	1290	946
ENSG00000181026	140	87	223
ENSG00000196526	437	280	44
ENSG00000157510	60	56	5
ENSG00000169129	419	321	1105
ENSG00000172493	3380	1708	1729
ENSG00000155966	96	100	38
ENSG00000144218	78	60	77
ENSG00000072364	2868	3305	1355
ENSG00000223959	326	223	155
ENSG00000141385	341	377	194
ENSG00000253606	0	0	0
ENSG00000079557	0	0	0
ENSG00000183077	280	210	179
ENSG00000081051	8	0	0
ENSG00000119844	1275	1386	1254
ENSG00000038002	80	245	96
ENSG00000157985	532	909	246
ENSG00000230869	5	89	6
ENSG00000288424	51	145	19
ENSG00000243289	9	38	0
ENSG00000279058	0	0	10
ENSG00000135439	3	0	0
ENSG00000133612	230	666	100
ENSG00000188234	180	81	29
ENSG00000172650	73	53	7
ENSG00000204149	422	276	983
ENSG00000264204	11	0	7
ENSG00000204172	117	213	27
ENSG00000273540	38	19	32
ENSG00000285501	145	124	21
ENSG00000146856	21	27	16
ENSG00000186094	60	33	27
ENSG00000084693	467	734	185
ENSG00000230514	0	546	7
ENSG00000173744	1289	2209	1109
ENSG00000106351	67	86	19
ENSG00000164252	260	180	83
ENSG00000214273	4	0	1
ENSG00000282968	0	0	0
ENSG00000233435	2	0	0
ENSG00000241532	0	0	0
ENSG00000261689	0	0	0
ENSG00000260680	0	0	0
ENSG00000259836	0	0	0
ENSG00000260994	0	0	0
ENSG00000261752	0	2	0
ENSG00000260427	0	0	0
ENSG00000262327	347	557	334
ENSG00000226555	78	4	16
ENSG00000162688	651	741	345
ENSG00000116771	35	33	34
ENSG00000187546	18	24	9
ENSG00000092847	532	744	508
ENSG00000123908	2485	1722	773
ENSG00000126070	1758	1222	859
ENSG00000134698	311	278	227
ENSG00000236873	447	307	272
ENSG00000169692	112	26	5
ENSG00000160216	366	105	232
ENSG00000026652	82	79	36
ENSG00000284980	113	198	51
ENSG00000234652	0	0	0
ENSG00000018510	602	761	176
ENSG00000106541	4248	5601	904
ENSG00000173467	36	5	9
ENSG00000188157	1175	1082	448
ENSG00000159723	0	0	0
ENSG00000135744	0	0	0
ENSG00000135049	40	52	29
ENSG00000144891	0	0	0
ENSG00000180772	0	0	0
ENSG00000177674	154	330	192
ENSG00000172482	47	37	27
ENSG00000113492	0	0	0
ENSG00000153207	1856	1536	978
ENSG00000101444	613	298	231
ENSG00000168710	1476	1592	872
ENSG00000158467	277	766	98
ENSG00000238181	0	0	0
ENSG00000233955	0	0	0
ENSG00000232992	0	0	0
ENSG00000213107	0	0	0
ENSG00000259465	1	0	0
ENSG00000242529	0	0	0
ENSG00000126705	152	55	51
ENSG00000135541	391	1129	410
ENSG00000124942	14217	12365	6054
ENSG00000185567	6782	6520	2241
ENSG00000106546	10240	9782	4670
ENSG00000063438	10	1	30
ENSG00000100591	353	661	145
ENSG00000145192	8	0	0
ENSG00000169877	0	0	0
ENSG00000111732	56	85	35
ENSG00000186063	972	1664	474
ENSG00000235588	22	358	106
ENSG00000126878	32	0	0
ENSG00000156709	147	274	101
ENSG00000225509	0	0	0
ENSG00000042286	81	84	84
ENSG00000183773	6	0	1
ENSG00000146416	658	526	600
ENSG00000249089	0	0	0
ENSG00000163568	7	10	8
ENSG00000164022	618	1180	166
ENSG00000234187	22	0	0
ENSG00000227177	0	0	0
ENSG00000106305	24	33	42
ENSG00000110711	151	70	31
ENSG00000129221	25	19	7
ENSG00000160224	13	0	21
ENSG00000196581	4	8	17
ENSG00000129474	405	556	224
ENSG00000106992	75	29	48
ENSG00000004455	1977	2819	904
ENSG00000242272	0	0	0
ENSG00000147853	282	190	151
ENSG00000282669	0	0	0
ENSG00000230042	4	5	0
ENSG00000248722	0	0	0
ENSG00000228816	6	17	12
ENSG00000162433	429	1584	76
ENSG00000263535	0	0	0
ENSG00000249410	0	0	0
ENSG00000233381	0	0	0
ENSG00000223621	0	0	0
ENSG00000217377	0	0	0
ENSG00000235606	0	0	0
ENSG00000154027	22	86	8
ENSG00000279247	10	16	12
ENSG00000256614	0	0	0
ENSG00000257173	0	0	0
ENSG00000140057	125	36	15
ENSG00000165695	0	0	1
ENSG00000155085	67	100	31
ENSG00000231824	0	0	0
ENSG00000121057	568	1106	330
ENSG00000108599	257	586	319
ENSG00000023516	947	608	1298
ENSG00000131016	562	476	355
ENSG00000170776	3235	6037	1893
ENSG00000186471	0	0	0
ENSG00000197976	167	396	42
ENSG00000214992	0	0	0
ENSG00000111254	11	93	0
ENSG00000147081	0	0	0
ENSG00000179841	178	147	141
ENSG00000151320	50	107	53
ENSG00000118507	58	6	43
ENSG00000105127	377	298	99
ENSG00000011243	204	27	33
ENSG00000234146	0	0	24
ENSG00000127914	3210	4504	2463
ENSG00000166452	159	128	142
ENSG00000174574	605	250	609
ENSG00000257786	0	0	0
ENSG00000228125	0	0	2
ENSG00000135334	503	302	379
ENSG00000251482	0	0	0
ENSG00000106948	244	164	117
ENSG00000162641	17	10	22
ENSG00000117448	481	844	343
ENSG00000085662	619	140	131
ENSG00000198074	187	44	26
ENSG00000213606	0	0	0
ENSG00000263355	2	0	3
ENSG00000227471	423	184	312
ENSG00000229991	0	0	0
ENSG00000213452	1	0	0
ENSG00000237876	0	0	0
ENSG00000225212	0	0	0
ENSG00000266899	0	0	0
ENSG00000231371	0	0	0
ENSG00000187134	1381	393	308
ENSG00000151632	4833	5176	1044
ENSG00000196139	1269	759	367
ENSG00000198610	24	0	0
ENSG00000225418	0	0	1
ENSG00000151631	0	0	0
ENSG00000215267	33	0	5
ENSG00000264006	0	0	0
ENSG00000122787	38	35	32
ENSG00000227776	0	0	0
ENSG00000165568	102	67	42
ENSG00000053371	205	38	46
ENSG00000280751	0	0	0
ENSG00000162482	0	0	0
ENSG00000211454	24	7	8
ENSG00000142208	1281	580	258
ENSG00000204673	428	377	56
ENSG00000105221	1232	862	1312
ENSG00000275199	82	207	199
ENSG00000166971	165	118	115
ENSG00000148218	88	75	95
ENSG00000023330	103	472	72
ENSG00000158578	0	0	0
ENSG00000163631	1	0	0
ENSG00000170017	3186	4998	895
ENSG00000161618	635	366	116
ENSG00000059573	292	672	233
ENSG00000165092	428	81	191
ENSG00000128918	57	15	15
ENSG00000184254	1754	1757	294
ENSG00000137124	173	90	55
ENSG00000144908	75	56	85
ENSG00000136010	159	805	295
ENSG00000111275	1118	640	595
ENSG00000108602	7	0	0
ENSG00000072210	514	2318	88
ENSG00000006534	88	141	43
ENSG00000132746	153	50	38
ENSG00000159423	185	147	80
ENSG00000112294	75	15	154
ENSG00000119711	808	501	298
ENSG00000164904	471	441	339
ENSG00000251400	0	0	0
ENSG00000232292	0	0	0
ENSG00000243853	0	0	0
ENSG00000234489	0	0	0
ENSG00000118514	27	30	9
ENSG00000143149	167	183	24
ENSG00000149925	2307	2104	682
ENSG00000242849	1	0	0
ENSG00000214297	0	2	0
ENSG00000136872	0	108	1
ENSG00000109107	133	56	95
ENSG00000033011	114	168	123
ENSG00000139133	74	70	24
ENSG00000175548	174	233	254
ENSG00000253710	411	209	175
ENSG00000182858	242	320	187
ENSG00000101901	929	849	411
ENSG00000172339	424	281	199
ENSG00000189366	15	0	12
ENSG00000254016	0	0	5
ENSG00000249889	0	0	0
ENSG00000250794	0	0	0
ENSG00000285027	1	0	0
ENSG00000250268	0	0	0
ENSG00000242017	0	0	0
ENSG00000251287	24	0	11
ENSG00000251087	0	0	0
ENSG00000226943	0	0	0
ENSG00000288161	0	0	0
ENSG00000251271	0	0	0
ENSG00000227620	0	0	0
ENSG00000254978	21	111	0
ENSG00000119523	509	203	57
ENSG00000214160	738	634	389
ENSG00000251568	4	0	0
ENSG00000120697	58	77	132
ENSG00000088035	73	70	34
ENSG00000159063	587	763	463
ENSG00000086848	323	353	303
ENSG00000171094	17	6	5
ENSG00000100601	193	166	129
ENSG00000189046	58	111	23
ENSG00000166199	57	444	14
ENSG00000160993	46	16	10
ENSG00000091542	355	273	42
ENSG00000239382	172	138	25
ENSG00000125652	91	61	12
ENSG00000137760	129	10	36
ENSG00000151360	0	0	0
ENSG00000116127	5068	5453	2877
ENSG00000163016	5	2	0
ENSG00000108839	16	0	319
ENSG00000179477	0	0	0
ENSG00000264958	0	0	0
ENSG00000262943	202	424	256
ENSG00000161905	1237	621	292
ENSG00000179593	139	874	26
ENSG00000188101	13	0	0
ENSG00000275565	28	4	24
ENSG00000132965	284	108	84
ENSG00000179148	0	0	0
ENSG00000163295	0	0	0
ENSG00000073331	560	276	157
ENSG00000198796	7	12	239
ENSG00000136383	1	21	0
ENSG00000162551	212	298	8
ENSG00000163283	3	7	3
ENSG00000003393	402	221	526
ENSG00000178038	263	102	116
ENSG00000180318	0	0	0
ENSG00000156150	0	0	25
ENSG00000052850	0	2	0
ENSG00000183684	30	10	90
ENSG00000242110	229	421	56
ENSG00000178522	0	0	0
ENSG00000106927	3	0	0
ENSG00000110497	226	307	181
ENSG00000123505	665	762	247
ENSG00000228339	0	0	0
ENSG00000237801	0	0	0
ENSG00000249286	2	0	0
ENSG00000215124	24	19	29
ENSG00000139344	1	18	0
ENSG00000162066	54	92	1
ENSG00000125363	0	0	0
ENSG00000099721	4	0	0
ENSG00000184675	162	69	3
ENSG00000165566	33	34	7
ENSG00000178171	17	22	15
ENSG00000159461	546	617	438
ENSG00000104899	0	0	0
ENSG00000135409	0	0	0
ENSG00000181754	68	1	4
ENSG00000139211	456	1043	208
ENSG00000176020	0	0	0
ENSG00000101935	312	425	116
ENSG00000144233	236	131	67
ENSG00000233273	0	1	0
ENSG00000166126	19	93	0
ENSG00000151743	226	216	90
ENSG00000126016	72	0	24
ENSG00000166025	258	359	293
ENSG00000114019	432	318	55
ENSG00000116748	0	0	0
ENSG00000116337	83	49	330
ENSG00000133805	832	390	334
ENSG00000078053	3	13	21
ENSG00000145020	51	99	88
ENSG00000187689	51	249	115
ENSG00000237763	6	4	3
ENSG00000174876	6	1	3
ENSG00000187733	0	0	0
ENSG00000243480	0	0	0
ENSG00000240038	116	26	46
ENSG00000227408	0	0	0
ENSG00000174945	61	8	24
ENSG00000196704	683	508	490
ENSG00000214174	145	13	26
ENSG00000219249	1	0	0
ENSG00000153107	1147	2494	710
ENSG00000164162	209	273	100
ENSG00000213735	1	0	0
ENSG00000141552	734	1168	79
ENSG00000129055	158	524	68
ENSG00000110200	201	206	135
ENSG00000166295	963	1322	456
ENSG00000233673	18	44	23
ENSG00000176248	21	1	3
ENSG00000053900	291	179	130
ENSG00000089053	1033	1422	658
ENSG00000196510	555	1148	522
ENSG00000214274	4	0	0
ENSG00000013523	387	566	265
ENSG00000174606	290	223	458
ENSG00000154188	15	54	2
ENSG00000091879	214	63	86
ENSG00000101280	25	12	24
ENSG00000116194	159	348	57
ENSG00000136859	427	906	22
ENSG00000132855	24	104	68
ENSG00000167772	24	58	0
ENSG00000187151	2	0	0
ENSG00000130812	0	0	0
ENSG00000171819	45	717	30
ENSG00000130173	10	0	0
ENSG00000227059	0	0	0
ENSG00000029534	341	10	1
ENSG00000145362	7	35	11
ENSG00000151150	2404	941	1033
ENSG00000151687	70	275	71
ENSG00000166839	235	95	178
ENSG00000189045	5	0	2
ENSG00000132623	110	148	169
ENSG00000153930	0	0	0
ENSG00000185722	1067	883	543
ENSG00000154122	554	667	332
ENSG00000131503	1453	2936	622
ENSG00000254996	173	9	297
ENSG00000001629	1753	1622	1012
ENSG00000170209	25	35	23
ENSG00000160117	42	105	59
ENSG00000176915	1628	1417	1827
ENSG00000144504	80	21	109
ENSG00000106524	235	129	34
ENSG00000164331	204	1893	41
ENSG00000148677	1	68	29
ENSG00000088448	401	563	199
ENSG00000167522	983	1188	846
ENSG00000101745	2074	2439	1086
ENSG00000076513	1010	1136	904
ENSG00000198720	1	0	0
ENSG00000118454	332	467	407
ENSG00000172932	351	211	111
ENSG00000134461	106	265	19
ENSG00000132466	4327	4895	1633
ENSG00000180071	270	8	96
ENSG00000230453	245	72	211
ENSG00000159712	2	0	2
ENSG00000281617	2	0	0
ENSG00000217165	152	10	43
ENSG00000187984	27	41	25
ENSG00000165887	19	3	0
ENSG00000260691	71	111	4
ENSG00000226695	3	68	0
ENSG00000215559	9	0	0
ENSG00000251056	3	2	0
ENSG00000249493	1	0	0
ENSG00000196593	176	130	38
ENSG00000186481	198	20	13
ENSG00000236816	0	0	0
ENSG00000229089	51	5	19
ENSG00000282715	12	2	0
ENSG00000152766	271	589	62
ENSG00000163126	53	111	1
ENSG00000089847	0	0	0
ENSG00000107890	349	516	97
ENSG00000261239	0	0	0
ENSG00000235550	0	0	0
ENSG00000237636	0	0	0
ENSG00000229427	0	0	0
ENSG00000105186	412	953	160
ENSG00000206560	401	231	162
ENSG00000154065	167	514	114
ENSG00000148513	0	0	0
ENSG00000180777	38	34	18
ENSG00000163046	29	14	4
ENSG00000175302	0	0	0
ENSG00000224309	21	21	19
ENSG00000275985	0	0	0
ENSG00000145700	38	18	1
ENSG00000167612	0	0	0
ENSG00000164236	14	1	6
ENSG00000272031	0	0	0
ENSG00000189127	48	0	12
ENSG00000235711	0	0	3
ENSG00000198483	8	26	107
ENSG00000135976	636	1026	136
ENSG00000196912	815	1558	305
ENSG00000214262	80	0	0
ENSG00000230006	343	410	225
ENSG00000174501	1005	1204	326
ENSG00000188399	0	0	0
